2026-03-13 13:57:44 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Configured repo-local caches: {'HF_HOME': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache', 'HUGGINGFACE_HUB_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/hub', 'TRANSFORMERS_CACHE': '/nfs_tmp/Compression_team/src/WaterSIC/outputs/hf_cache/transformers', 'PIP_CACHE_DIR': '/nfs_tmp/Compression_team/src/WaterSIC/.cache/pip'}
2026-03-13 14:04:03 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 4 for layer model.layers.0
2026-03-13 14:04:05 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 5 for layer model.layers.0
2026-03-13 14:12:49 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.0.mlp.down_proj with target 3.1173 and achieved 3.0271 (relMSE=5.588405e-01, ref_delta=4.532952e-02)
2026-03-13 14:12:49 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Completed layer 0 in 876.94s
2026-03-13 14:12:49 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collecting statistics for layer 1 stage ['q_proj', 'k_proj', 'v_proj']
2026-03-13 14:12:51 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 0 for layer model.layers.1
2026-03-13 14:12:53 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 1 for layer model.layers.1
2026-03-13 14:12:55 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 2 for layer model.layers.1
2026-03-13 14:12:57 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 3 for layer model.layers.1
2026-03-13 14:13:00 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 4 for layer model.layers.1
2026-03-13 14:13:02 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 5 for layer model.layers.1
2026-03-13 14:13:15 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.1.self_attn.q_proj with target 3.2617 and achieved 3.1064 (relMSE=5.565145e-02, ref_delta=2.907972e-01)
2026-03-13 14:13:23 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.1.self_attn.k_proj with target 3.3652 and achieved 2.9084 (relMSE=7.743903e-02, ref_delta=2.907972e-01)
2026-03-13 14:13:31 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.1.self_attn.v_proj with target 3.4565 and achieved 3.0570 (relMSE=6.150943e-02, ref_delta=2.907972e-01)
2026-03-13 14:13:31 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collecting statistics for layer 1 stage ['o_proj']
2026-03-13 14:13:31 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 0 for layer model.layers.1
2026-03-13 14:13:32 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 1 for layer model.layers.1
2026-03-13 14:13:33 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 2 for layer model.layers.1
2026-03-13 14:13:34 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 3 for layer model.layers.1
2026-03-13 14:13:35 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 4 for layer model.layers.1
2026-03-13 14:13:36 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Collected calibration batch 5 for layer model.layers.1
2026-03-13 14:13:53 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Quantized model.layers.1.self_attn.o_proj with target 3.5564 and achieved 3.4190 (relMSE=2.124589e-01, ref_delta=3.034903e-02)
2026-03-13 14:13:53 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Completed layer 1 in 63.30s
2026-03-13 14:14:17 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Running quantized evaluation
2026-03-13 14:14:19 | INFO | run_llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed | Experiment complete: {'artifact_dir': PosixPath('/nfs_tmp/Compression_team/src/WaterSIC/outputs/quantized/llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed'), 'report_json_path': PosixPath('/nfs_tmp/Compression_team/src/WaterSIC/outputs/reports/llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed.json'), 'report_md_path': PosixPath('/nfs_tmp/Compression_team/src/WaterSIC/outputs/reports/llama32_1b_multilayer_smoke_3p0bit_ref_stagefix_residfixed.md'), 'baseline_perplexity': 8.98797788159514, 'quantized_perplexity': 9.643339152533386}
